plotID,region,CN,type
UPL3,Felsic,15.51051379,Litter layer
UPL4,Felsic,16.16804649,Litter layer
UPL5,Felsic,21.27050326,Litter layer
UPL6,Felsic,17.40392518,Litter layer
UPL7,Felsic,21.68633249,Litter layer
UPL8,Felsic,20.83768052,Litter layer
UPL9,Felsic,18.02475252,Litter layer
KBP1,Mafic,14.15547703,O-horizon
KBP10,Mafic,12.29333333,O-horizon
KBP11,Mafic,12.06914894,O-horizon
KBP12,Mafic,13.87815126,O-horizon
KBP2,Mafic,16.31102362,O-horizon
KBP3,Mafic,17.97402597,O-horizon
KBP4,Mafic,13.81944444,O-horizon
KBP4,Mafic,11.94095941,O-horizon
KBP5,Mafic,13.38271605,O-horizon
KBP6,Mafic,13.09859155,O-horizon
KBP7,Mafic,12.19202899,O-horizon
KBP8,Mafic,13.46031746,O-horizon
KBP8,Mafic,12.55251142,O-horizon
KBP9,Mafic,13.13095238,O-horizon
NPL1,Sedim,20.10280374,O-horizon
NPL10,Sedim,20.24766355,O-horizon
NPL11,Sedim,21.68877551,O-horizon
NPL11,Sedim,19.77209302,O-horizon
NPL12,Sedim,18.77294686,O-horizon
NPL2,Sedim,16.08284024,O-horizon
NPL3,Sedim,19.56132075,O-horizon
NPL4,Sedim,20.09649123,O-horizon
NPL5,Sedim,20.86238532,O-horizon
NPL6,Sedim,19.13043478,O-horizon
NPL7,Sedim,19.91341991,O-horizon
NPL8,Sedim,17.02380952,O-horizon
NPL9,Sedim,18.58018868,O-horizon
UPL1,Felsic,13.15384615,O-horizon
UPL10,Felsic,13.06862745,O-horizon
UPL11,Felsic,10.82608696,O-horizon
UPL12,Felsic,16.87195122,O-horizon
UPL2,Felsic,13.28497409,O-horizon
UPL3,Felsic,10.97457627,O-horizon
UPL4,Felsic,14.42253521,O-horizon
UPL5,Felsic,14.23571429,O-horizon
UPL6,Felsic,13.68686869,O-horizon
UPL7,Felsic,14.8974359,O-horizon
UPL8,Felsic,13.13432836,O-horizon
UPL9,Felsic,16.62765957,O-horizon
